अातंकियों,अातंकी
छोड़ना,छोड़
सहयोगी,सहयोग
बदले,बदल
छोड़ना,छोड़
बताया,बता
चाहती,चाह
उड़ान,उड़
भरने,भर
सकती,सकती
इसमे,इसमे
रही,रह
छोड़ने,छोड़
अपहर्ताअों,अपहर्ता
लगाते,लगा
जलाया,जला
क्ष्त्र्ाे,क्ष्त्र्
मारे,मार
बच्चे,बच्चा
बच्चो,बच्चा
अधिकारियो,अधिकारी
लापरवाही,लापरवाह
निलंबित,निलंबन 
मुअावजे,मुअावजा
करे,कर
रुपये,रुपया
देने,देना
सूत्र्ााे,सूत्रा
मामले,मामला
होकर,होकर
इसकी,इसकी
लिखित,लिख
थाने,थाना
पहुंचा,पहुंच
उठाने,उठा
भागने,भाग
अधजली,अधजली
सहयोगियो,सहयोगी
कमरे,कमरा
पुत्र्ाी,पुत्र्ाी
चिल्लाने,चिल्ला
दौड़े,दौड़
अपराधियो,अपराधी
रुपये,रुपया
लाश्ााे,लाश
अाक्रोश्ताि,अाक्रोश्ताि
संबोधित,संबोध
इलाके,इलाका
होने,होना
संभालने,संभाल
भतीजे,भतीजा
ट्रेनो,ट्रेन
बदले,बदला
जाने,जाना
चलने,चलना
लगे,लगा
पलटने,पलट
बोगियो,बोगी
ग्रामीण्ााे,ग्रामीण
निकालने,निकाल
अलावा,अलावा
उपहार,उपहार
पहले,पहला
कराने,करा
डिब्बो,डिब्बा
रास्ते,रास्ता
देश्ाों,देश
वर्षों,वर्ष
उन्हें,उन्हें
सीमाअाे,सीमा
मंजूरी,मंजूर
प्रभावी,प्रभाव
पसलियों,पसली
पहुंचेगा,पहुंच
दक्ष्सो,दक्ष्स
रियायतो,रियायत
मुद्दे,मुद्दा
व्यावहारिक,व्यवहार
मुकाबले,मुकाबला
चमकाने,चमक
उद्योगो,उद्योग
खांए,खा
वस्तुअाे,वस्तु
बाधाअाे,बाधा
तुम्हे,तुम्हे
अर्थव्यवस्थाअाे,अर्थव्यवस्था
सरकारो,सरकार
उल्लेखनीय,उल्लेख
समझ्ताौा,समझ्ताौा
हमंे,हम
रिश्ते,रिश्ता
व्यापारिक,व्यापार
होगे,होगा
तैसे,तैसा
टिकाने,टिक
रखता,रख
प््रत्यार्पण्ा,प््रत्यार्पण्ा
दिल्ली,दिल्ली
रखेंगे,रखा
उत्पादो,उत्पाद
तलाश्नो,पड़
उष्णकटिबंधीय,उष्णकटिबंध
जिनकी,जिन
हजारो,हजार
लौटने,लौट
अधिकतर,अधिकतर
उद्योगो,उद्योग
संबंधित,संबंध
तपाऊंगा,तपा
अारोपी,अारोप
संरक्ष्ण्ाा,संरक्ष्ण
मंजूरी,मंजूर
उन्होंने,उन्होंने
मिटाए,मिट
संकेतो,प्रतिनिधित्व
करेगे,कर
विपक्ष्ाी,विपक्ष
सदस्यीय,सदस्य
प्रभावित,प्रभाव
इलाकों,इलाका
संबंधित,संबंध
प्रस्तावों,प्रस्ताव
विचारों,विचार
करेगे,कर
यही,यह
राजनेताअों,राजनेता
दूसरे,दूसरा
हिरासती,हिरासत
पिछले,पिछला
महीने,महीना
मिलना,मिल
सकते,सकता
नेताअों,नेता
वामपंथियों,वामपंथी
किले,किला
सकती,सकती
हराने,हराना
श्ाक्तियो,श्ाक्ति
विरोधी,विरोध
करती,कर
बुलाया,बुला
नीतियो,नीति
कहते,कह
जानकारी,जानकार
करीबी,करीब
प्रतिनिधित्व,प्रतिनिधि
पाकिस्तानी,पाकिस्तान
प्रतिनिधिमंडल,प्रतिनिधिमंडल
देश्ााे,देश
जवानो,जवान
राष्ट्रीय,राष्ट्र
हड़ताली,हड़ताल
डाक्टरो,डाक्टर
संवाददाताअाे,संवाददाता
कदमो,कदम
वैकल्पिक,वैकल्पिक
चिकित्सको,चिकित्सक
बुलाया,बुला
नेताअाे,नेता
विवादित,विवाद
चुनावी,चुनाव
जल्दबाजी,जल्दबाजी
होगी,होगी
कराएंगे,करा
करेगा,कर
ठुकराया,ठुकरा
रिश्तों,रिश्ता
जाएंगे,जा
संबंधो,संबंध
कहूंगा,कहूं
सहमति,सहमत
जताते,जता
जिनताअो,जिनताअो
निर्देश्ना,निर्देश
नेताअाे,नेता
पाबंदी,पाबंद
लगाने,लगा
बनाने,बना
तेजी,तेज
अागे,अागे
रहे,रह
संपन्नता,संपन्न
रखते,रख
रण्नाीतिक,रण्नाीति
रचाकर,रचा
जोड़ने,जोड़
करते,कर
जाएगा,जा
लंबे,लंबा
विवादित,विवाद
स्थिरता,स्थिर
लोगो,लोग
रखने,रख
विश्षो,विश्षो
प्रदर्श्ना,प्रदर्श्न
साझ्दाीारी,साझ्दाीारी
संभालेगे,संभाल
राष्ट्रीय,राष्ट्र
परिस्थितियो,परिस्थिति
संभालने,संभाल
कांटो,कांटा
चुनौतियो,चुनौती
समस्याअाे,समस्या
राज्यो,राज्य
ढूंढने,ढूंढ
संभालेगे,संभाल
पूछे,पूछा
चुके,चुका
पाने,पा
गलती,गलत
अारोपो,अारोप
अधिकारियो,अधिकारी
जिसके,जिस
मौके,मौका
भारतीय,भारत
नाटकीय,नाटक
डालने,डाल
बहाने,बहाना
परिजनो,परिजन
छोड़ने,छोड़
प्रतिनिधियो,प्रतिनिधि
गतिविधियो,गतिविधियो
नौकरियों,नौकरी
इर्साइयो,इर्साइ
निंदनीय,निंदा
चुनावो,चुनाव
असफल,असफल
सकेगी,सके
बैठे,बैठ
अपराधी,अपराध
चढ़ेगा,चढ़
जाएगी,जा
समझ्ािए,समझ
मानवता,मानव
पकड़कर,पकड़
हमारी,हम
प्रचारक,प्रचार
जुड़ने,जुड़ने
प्रभावित,प्रभाव
राजनीतिक,राजनीति
मामले,मामला
संभालेगे,संभाल
दूसरी,दूसरा
नेताअाे,नेता
स्थितियो,स्थिति
तलाश्नो,तलाश
रहेगे,रह
संभालने,संभाल
मंत्र्यााेि,मंत्र्ी
गठित,गठित
बहुमुखी,बहुमुख
रही,रह
महिलाअाे,महिला
असमर्थ्ा,असमर्थ
बनाइर्,बना
संसदीय,संसद
अध्यक्ष्ा,अध्यक्ष
कहा ,कह
उन्होने,उन्होने
पिछले,पिछला
खुलासा,खुलासा
मानवाधिकारो,मानवाधिकार
तथ्यो,तथ्य
वासियो,वासी
प्रौद्योगिकी,प्रौद्योगिक
परियोजनाएं,परियोजना
हवाले,हवाला
अमेरिकी,अमेरिका
बांटा,बांट
जातियो,जाति
संस्थाअाे,संस्था
पहाड़ियो,पहाड़ी
विश्षो,विश्षो
हेलीकाप्टरो,हेलीकाप्टर
पुष्पो,पुष्प
युवको,युवक
दौड़ाइर्,दौड़
अस्पतालो,अस्पताल
अारोपियो,अारोपी
किराये,किराया
चिल्लाती,चिल्ला
सर्मथकों,सर्मथक
कंजूसी,कंजूस
वैज्ञ्ाानिकों,वैज्ञ्ाानिक
जाना,जा
हार्मोनो,हार्मोन
इरादे,इरादा
चाहिए,चाहिए
पत्र्काारो,पत्र्काार
मालाअाे,माला
पटाख्ो,पटाखा
एजेसियों,एजेसी
सूत्र्ााे,सूत्र
अाश्वासनो,अाश्वासन
अौपचारिकता,अौपचारिक
अध्यक्ष्ताा,अध्यक्ष
असाधारण्ा,असाधारण
तकनीकी,तकनीक
सिफारिश्ााे,सिफारिश
अतिथियों,अतिथि
मौजूदगी,मौजूद
दिवसीय,दिवस
गजलो,गजल
कव्वालियो,कव्वाली
दूतावासो,दूतावास
अस्थायी,अस्थायी
वाण्ािज्यिक,वाण्ािज्य
अाएगी,अा
प्रतिबद्धता,प्रतिबद्ध
देने,दे
वर्गों,वर्ग
पिछड़े,पिछड़े
प्रतिष्ठानो,प्रतिष्ठान
पाबंदी,पाबंद
मोर्चे,मोर्चा
अनुसूचित,अनुसूची
सौंपनी,सौंपनी
विद्रोहियो,विद्रोह
फलस्तीनी,फलस्तीन
अकेले,अकेला
पीड़ितो,पीड़ित
कठिनाइयो,कठिन
राते,रात
गुजारेगे,गुजार
समर्थित,समर्थ
तंबुअाे,तंबु
अाश्वासनो,अाश्वासन
उपनिदेश्का,उपनिदेश्क
प्रासंगिकता,प्रासंगिक
सिफारिश्ााे,सिफारिश
विवरण्ााे,विवरण
वर्गों,वर्ग
असामयिक,असमय
भाइयो,भाइी
ताकतो,ताकत
अखबारो,अखबार
नजरिये,नजर
विद्यार्थियो ,विद्यार्थी
अस्वीकार,अस्वीकार
कारण्ााे,कारण
जातियो,जाति
डाक्टरो,डाक्टर
कालेजो,कालेज
सेवाएं,सेवा
प्राथमिकता,प्राथमिक
हड़ताली,हड़ताल
रोगियो,रोगी
उठाना,उठाना
सदस्यता,सदस्य
उग्रवादियो,उग्रवादी
काफिले,काफिला
उपभोक्ताअाे,उपभोक्ता
टिकटो,टिकट
डाकखानो,डाकखाना
गुमश्दाुगी,गुमश्दा
निष्कर्षों,निष्कर्ष
सदनो,सदन